City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Upernavik,72.7868,-56.1549,2.05,66,100,4.0,GL,1643928681
Fortuna,40.5982,-124.1573,59.18,71,0,10.0,US,1643928682
Stolin,51.8912,26.846,14.58,98,73,2.66,BY,1643928684
Dudinka,69.4058,86.1778,-21.19,100,93,4.23,RU,1643928684
Hambantota,6.1241,81.1185,72.97,85,1,6.46,LK,1643928685
São Filipe,14.8961,-24.4956,74.21,72,0,7.61,CV,1643928685
Havelock,34.8791,-76.9013,68.23,76,75,3.0,US,1643928686
Sulangan,11.1373,123.7228,80.02,79,98,11.95,PH,1643928686
Port Alfred,-33.5906,26.891,70.32,79,83,18.16,ZA,1643928689
Anking,30.5092,117.0506,37.89,88,100,3.6,CN,1643928690
Belém,-1.4558,-48.5044,78.84,78,75,5.75,BR,1643928485
Zonguldak,41.25,31.8333,32.77,100,100,2.89,TR,1643928496
Vila,42.0304,-8.1588,45.32,89,100,2.42,PT,1643928618
Cayenne,4.9333,-52.3333,78.1,90,75,5.01,GF,1643928690
Roebourne,-20.7833,117.1333,84.4,65,47,4.14,AU,1643928690
Linjiang,41.8069,126.9078,-3.28,97,34,1.23,CN,1643928692
Diébougou,10.9667,-3.25,74.7,10,9,4.52,BF,1643928693
Aswān,24.0934,32.907,58.3,28,0,6.91,EG,1643928693
Champerico,14.3,-91.9167,90.14,60,5,7.45,GT,1643928693
Bulembu,-25.9667,31.1333,74.35,80,3,3.8,SZ,1643928694
Meulaboh,4.1363,96.1285,74.77,85,96,2.21,ID,1643928694
Nyakabindi,-2.6333,33.9833,64.78,85,99,4.99,TZ,1643928694
Gizo Government Station,-8.103,156.8419,79.39,84,100,14.83,SB,1643928695
Airai,-8.9266,125.4092,63.7,88,100,2.66,TL,1643928696
Khatanga,71.9667,102.5,-33.18,100,35,3.6,RU,1643928697
Natchez,31.5604,-91.4032,39.25,87,100,14.97,US,1643928446
Esperance,-33.8667,121.9,62.44,71,0,17.0,AU,1643928699
Vao,-22.6667,167.4833,78.53,89,89,14.18,NC,1643928669
Amahai,-3.3333,128.9167,79.54,76,100,3.87,ID,1643928700
Burnie,-41.0667,145.9167,65.95,50,1,2.68,AU,1643928701
Castro,-24.7911,-50.0119,66.47,95,83,4.65,BR,1643928702
Adrar,20.5022,-10.0711,64.2,16,1,10.31,MR,1643928703
Herat Province,34.5,62.0,38.23,45,15,3.56,AF,1643928703
Liwonde,-15.0506,35.2035,70.65,92,15,0.81,MW,1643928704
Belle Fourche,44.6714,-103.8522,32.11,31,89,10.22,US,1643928705
Sisimiut,66.9395,-53.6735,15.31,81,100,37.98,GL,1643928705
Saint Anthony,45.0205,-93.218,6.64,49,0,1.01,US,1643928706
Quang Ngai,15.1167,108.8,68.97,89,99,6.98,VN,1643928654
Lazurne,46.084,32.5295,32.02,79,100,20.94,UA,1643928706
Sabha,27.0377,14.4283,49.64,53,0,7.0,LY,1643928707
Boguchany,58.3814,97.4531,6.51,97,100,4.65,RU,1643928707
Souillac,-20.5167,57.5167,80.98,89,75,25.32,MU,1643928707
Kresttsy,58.2452,32.5165,-3.6,100,98,1.5,RU,1643928707
Eydhafushi,5.1033,73.0708,80.04,74,20,3.06,MV,1643928708
Klyuchi,52.2667,79.1667,0.03,98,55,7.27,RU,1643928709
Bethel,41.3712,-73.414,42.67,92,100,0.0,US,1643928710
Huarmey,-10.0681,-78.1522,74.34,75,35,11.25,PE,1643928710
Wanaka,-44.7,169.15,51.12,94,100,1.01,NZ,1643928710
Antalaha,-14.9003,50.2788,75.94,84,100,3.13,MG,1643928661
La Ronge,55.1001,-105.2842,-9.15,49,0,5.75,CA,1643928712
Shipunovo,52.1582,82.2173,-7.02,100,100,2.73,RU,1643928713
Yurga,55.7231,84.8861,2.93,98,99,6.24,RU,1643928713
Margate,51.3813,1.3862,48.96,86,98,17.29,GB,1643928714
Havre-St-Pierre,50.2334,-63.5986,19.99,73,100,21.85,CA,1643928557
Yerbogachën,61.2767,108.0108,0.73,99,97,3.09,RU,1643928560
Mount Isa,-20.7333,139.5,74.97,41,75,13.8,AU,1643928715
Bredasdorp,-34.5322,20.0403,62.28,82,20,3.44,ZA,1643928636
Mocajuba,-2.5842,-49.5072,75.13,93,85,3.31,BR,1643928600
Saint-Michel-des-Saints,46.6834,-73.9159,5.36,89,100,7.2,CA,1643928720
Upata,8.0086,-62.3989,82.18,66,79,6.49,VE,1643928720
Bac Lieu,9.285,105.7244,77.49,83,27,19.48,VN,1643928721
Gucheng,35.9115,111.3192,31.98,40,2,3.96,CN,1643928721
Sechura,-5.5569,-80.8222,78.51,58,43,18.59,PE,1643928722
Tiksi,71.6872,128.8694,-10.17,100,100,7.4,RU,1643928723
Caxias do Sul,-29.1681,-51.1794,83.91,39,75,4.61,BR,1643928725
George Town,5.4112,100.3354,79.9,93,20,0.0,MY,1643928725
Paamiut,61.994,-49.6678,18.75,87,100,2.17,GL,1643928726
Carnarvon,-24.8667,113.6333,78.87,83,24,9.22,AU,1643928559
Lodja,-3.4833,23.4333,68.43,92,100,1.97,CD,1643928726
Tuktoyaktuk,69.4541,-133.0374,-18.4,76,100,10.36,CA,1643928727
Rianxo,42.6498,-8.8176,56.08,93,100,3.02,ES,1643928436
Punta Ocote,15.2,-87.2833,87.6,51,40,5.75,HN,1643928730
Avarua,-21.2078,-159.775,84.25,74,40,18.41,CK,1643928730
Pitimbu,-7.4706,-34.8086,82.99,75,68,14.61,BR,1643928731
Mayumba,-3.432,10.6554,76.17,86,100,1.61,GA,1643928733
Goderich,43.7501,-81.7165,15.91,73,100,13.8,CA,1643928733
Cuamba,-14.8031,36.5372,70.2,83,26,0.92,MZ,1643928733
Kysyl-Syr,63.8986,122.7617,-31.13,100,63,3.76,RU,1643928734
Cortez,37.3489,-108.5859,30.96,26,0,14.97,US,1643928735
Dawei,14.0833,98.2,71.19,83,33,2.89,MM,1643928736
Khovd,48.0056,91.6419,-9.83,82,24,3.85,MN,1643928736
Lagoa,39.05,-27.9833,57.58,73,100,14.0,PT,1643928737
Fare,-16.7,-151.0167,81.0,70,12,16.26,PF,1643928738
Chapais,49.7834,-74.8492,-6.02,96,99,2.55,CA,1643928702
Necochea,-38.5473,-58.7368,71.04,82,100,7.96,AR,1643928740
Zheleznodorozhnyy,55.7503,38.0042,21.72,97,100,2.82,RU,1643928740
Tuy Hoa,13.0833,109.3,71.92,90,98,8.43,VN,1643928595
Seabra,-12.4186,-41.7703,68.74,75,27,3.29,BR,1643928740
Charagua,-19.8,-63.2167,94.57,59,20,12.95,BO,1643928742
Ust'-Kulom,61.6864,53.6902,4.55,99,94,2.93,RU,1643928742
Killybegs,54.6333,-8.45,37.45,63,100,21.3,IE,1643928743
Hofn,64.2539,-15.2082,29.07,58,99,23.38,IS,1643928745
Gamba,-2.65,10.0,74.82,88,100,0.58,GA,1643928745
Smoky Lake,54.1169,-112.4686,0.48,54,91,3.44,CA,1643928746
Palotina,-24.2839,-53.84,75.24,98,100,6.82,BR,1643928677
Berlevåg,70.8578,29.0864,15.75,79,20,11.5,NO,1643928746
Shubarshi,48.5872,57.1869,20.32,83,100,13.22,KZ,1643928747
Yulara,-25.2406,130.9889,64.24,55,51,9.22,AU,1643928750
Olafsvik,64.8945,-23.7142,26.19,78,94,29.1,IS,1643928750
Basoko,1.2391,23.616,75.36,66,100,4.25,CD,1643928752
Torbay,47.6666,-52.7314,35.58,84,100,28.77,CA,1643928629
Ilulissat,69.2167,-51.1,17.78,70,100,9.91,GL,1643928754
Iquitos,-3.7481,-73.2472,78.84,89,75,4.61,PE,1643928725
Sampit,-2.5333,112.95,73.11,97,99,1.32,ID,1643928755
Röszke,46.188,20.0337,35.19,69,99,6.44,HU,1643928755
Letlhakane,-21.4167,25.5833,73.67,67,54,3.56,BW,1643928755
Sault Ste. Marie,46.5168,-84.3333,8.89,47,0,11.5,CA,1643928658
Dunmore East,52.1514,-6.9861,45.23,68,100,19.86,IE,1643928756
Ahipara,-35.1667,173.1667,75.99,74,79,14.88,NZ,1643928757
Kawalu,-7.3817,108.2082,71.76,91,99,2.64,ID,1643928757
Alaca,40.1683,34.8425,33.53,96,100,3.44,TR,1643928757
Batagay-Alyta,67.8006,130.4114,-20.34,98,100,3.67,RU,1643928758
Garoowe,8.4054,48.4845,63.9,59,24,7.54,SO,1643928759
Chyorny Yar,48.0624,46.1091,29.71,94,100,4.61,RU,1643928759
Talnakh,69.4865,88.3972,-12.46,98,98,7.25,RU,1643928763
Rantepao,-2.9701,119.8978,66.74,92,100,2.86,ID,1643928766
Vanavara,60.34,102.2797,11.55,94,100,8.99,RU,1643928766
Biak,-0.9131,122.8766,77.56,74,100,3.6,ID,1643928766
Hasaki,35.7333,140.8333,34.2,54,71,13.06,JP,1643928767
Sharjah city,25.3573,55.4033,72.25,60,0,2.3,AE,1643928767
Krasnosel'kup,65.7,82.4667,14.02,96,99,8.75,RU,1643928769
Mehamn,71.0357,27.8492,15.71,78,100,13.18,NO,1643928769
Severo-Kuril'sk,50.6789,156.125,30.94,83,100,9.53,RU,1643928769
Urucará,-2.5364,-57.76,75.38,95,98,1.34,BR,1643928771
Taltal,-25.4,-70.4833,69.37,66,15,5.97,CL,1643928491
Galesong,-5.3166,119.3661,71.62,82,100,5.14,ID,1643928773
Saint-François,46.4154,3.9054,40.68,81,100,5.75,FR,1643928774
Port Hardy,50.6996,-127.4199,43.75,93,100,11.5,CA,1643928608
Nizhneangarsk,55.7833,109.55,-7.37,95,96,1.99,RU,1643928775
Mananara,-16.1667,49.7667,74.79,86,100,5.21,MG,1643928775
Smithers,54.7804,-127.1743,19.72,79,100,4.61,CA,1643928777
Kazachinskoye,57.6953,93.2761,10.98,95,99,5.82,RU,1643928779
Ileza,61.0533,43.9002,-4.63,100,98,2.1,RU,1643928780
Natal,-5.795,-35.2094,82.62,78,20,9.22,BR,1643928591
Puerto Varas,-41.3195,-72.9854,71.85,82,75,10.36,CL,1643928783
Bara,10.3744,10.7288,68.59,18,1,11.3,NG,1643928785
Yuncheng,35.0231,110.9928,33.35,70,70,7.02,CN,1643928785
Heihe,50.2441,127.4902,-5.22,83,13,9.95,CN,1643928786
Mosquera,4.7059,-74.2302,66.29,55,75,8.05,CO,1643928787
Rafsanjān,30.4067,55.9939,50.49,18,0,2.1,IR,1643928787
Titel,45.2061,20.2944,33.91,73,66,4.63,RS,1643928788
Kol'chugino,56.3,39.3833,11.59,98,100,2.82,RU,1643928788
Paraíso,9.8383,-83.8656,74.26,70,39,3.13,CR,1643928789
Toora-Khem,52.4675,96.11,-23.1,100,93,0.49,RU,1643928790
Pangnirtung,66.1451,-65.7125,-2.2,78,100,12.66,CA,1643928791
Tucupita,9.0622,-62.051,78.3,69,47,6.71,VE,1643928792
Santa Isabel,-23.3156,-46.2214,75.65,98,71,3.11,BR,1643928793
Aripuanã,-9.1667,-60.6333,74.71,98,94,0.74,BR,1643928793
Athani,16.7333,75.0667,60.13,73,6,9.15,IN,1643928795
Madang,-5.2246,145.7966,77.47,84,99,7.7,PG,1643928795
Kashgar,39.4547,75.9797,24.01,42,0,6.71,CN,1643928795
Philadelphia,39.9523,-75.1638,48.45,93,100,0.0,US,1643928742
Nokaneng,-19.6667,22.2667,68.2,90,14,6.06,BW,1643928797
Sorong,-0.8833,131.25,80.42,82,100,7.94,ID,1643928797
Kralendijk,12.15,-68.2667,80.58,74,40,14.97,BQ,1643928799
Camacha,33.0833,-16.3333,62.02,88,20,8.05,PT,1643928800
Balyqshy,47.0667,51.8667,37.4,87,93,22.37,KZ,1643928801
Touros,-5.1989,-35.4608,81.5,75,60,15.43,BR,1643928802
Marabu,4.4148,114.0089,75.34,100,40,3.44,MY,1643928803
Panalingaan,8.7842,117.4231,77.58,79,43,3.67,PH,1643928805
Astoria,46.1879,-123.8313,52.56,89,40,1.01,US,1643928805
Bilibino,68.0546,166.4372,-6.92,66,0,4.76,RU,1643928806
Gaoyou,32.7858,119.4278,31.93,76,0,2.84,CN,1643928807
Elliot,-31.3333,27.85,61.0,97,98,4.14,ZA,1643928808
Córdoba,-31.4135,-64.1811,83.75,58,20,1.99,AR,1643928809
Socotá,6.0403,-72.6351,54.63,84,86,3.11,CO,1643928809
Sabang,5.8933,95.3214,81.93,70,31,9.31,ID,1643928809
Leningradskiy,69.3833,178.4167,-10.52,81,2,8.88,RU,1643928810
Sept-Îles,50.2001,-66.3821,9.12,55,75,8.99,CA,1643928601
Christchurch,-43.5333,172.6333,62.94,83,75,1.99,NZ,1643928594
Waingapu,-9.6567,120.2641,79.3,82,85,10.78,ID,1643928812
Lakes Entrance,-37.8811,147.981,66.16,66,83,3.02,AU,1643928813
Valle de Allende,26.9333,-105.4,65.03,10,0,14.76,MX,1643928813
Panara,22.0667,78.55,54.37,44,0,7.7,IN,1643928814
São Félix do Xingu,-6.6447,-51.995,76.55,83,4,2.91,BR,1643928816
Atkinson,42.8384,-71.147,43.21,93,100,1.74,US,1643928816
Kem',64.9555,34.5793,3.99,98,93,4.12,RU,1643928817
Alto de La Estancia,8.6,-80.1667,80.37,27,42,10.87,PA,1643928818
Druzhnaya Gorka,59.2761,30.1425,0.68,100,92,2.13,RU,1643928819
Tezu,27.9167,96.1667,53.51,59,73,3.47,IN,1643928820
Majene,-3.5403,118.9707,77.14,80,99,4.54,ID,1643928821
Constantine,36.365,6.6147,40.41,60,0,5.75,DZ,1643928822
Sindor,62.8629,51.8905,13.98,97,100,3.87,RU,1643928823
Selty,57.3132,52.1345,11.82,97,100,3.71,RU,1643928827
Codrington,-38.2667,141.9667,63.27,66,100,13.49,AU,1643928828
Pacifica,37.6138,-122.4869,66.22,59,75,0.0,US,1643928829
Contamana,-7.3333,-75.0167,82.83,68,100,4.81,PE,1643928829
Amapá,1.0,-52.0,72.18,98,100,2.35,BR,1643928830
Ust-Nera,64.5667,143.2,-18.65,99,99,3.53,RU,1643928830
Grants Pass,42.439,-123.3284,55.35,52,0,4.61,US,1643928831
Port Macquarie,-31.4333,152.9167,68.9,100,75,9.22,AU,1643928831
Laas,46.6166,10.7002,40.46,71,97,3.42,IT,1643928832
Antofagasta,-23.65,-70.4,67.28,76,7,10.11,CL,1643928832
Guangyuan,32.442,105.823,36.97,87,97,2.82,CN,1643928832
Bereda,43.2686,-7.5406,51.01,96,86,3.09,ES,1643928832
Hamilton,39.1834,-84.5333,27.45,92,100,3.0,US,1643928447
Iralaya,15.0,-83.2333,82.49,84,28,7.76,HN,1643928556
Loknya,56.83,30.1467,5.02,99,85,3.49,RU,1643928833
Luleå,65.5842,22.1547,-2.13,84,100,2.3,SE,1643928748
Samarai,-10.6167,150.6667,82.72,73,88,8.08,PG,1643928833
Lüderitz,-26.6481,15.1594,68.54,67,2,14.92,NA,1643928834
Lokoja,7.8024,6.743,80.02,15,43,1.59,NG,1643928834
Lorengau,-2.0226,147.2712,80.55,80,100,4.16,PG,1643928834
